City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Caravelas,BR,77.85,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
278,Kendari,ID,80.62,broken clouds,-3.945,122.4989,Hotel Wixel
283,Manzanillo,CU,76.84,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
285,Kilindoni,TZ,82.44,light rain,-7.9139,39.6668,Bustani B&B
288,Kavaratti,IN,83.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
291,Itupiranga,BR,80.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
296,Biltine,TD,84.0,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
297,Port Macquarie,AU,78.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
298,Hirara,JP,76.86,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
299,Matadi,CD,75.16,light rain,-5.8167,13.45,Hotel Vivi Palace
302,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
311,Tecoanapa,MX,83.48,broken clouds,16.5167,-98.75,Hotel Manglares
314,Senador Pompeu,BR,75.07,broken clouds,-5.5881,-39.3717,Pousada Ki-Delicia
316,Voh,NC,82.69,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
320,Caborca,MX,80.62,clear sky,30.5838,-111.101,Hotel Los Lagos
325,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
328,Houston,US,75.6,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
333,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
339,Alice Springs,AU,80.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
342,Victoria,HK,75.96,clear sky,22.2855,114.1577,Mini Hotel Central
345,Maragogi,BR,78.19,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
347,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
350,La Union,PE,76.98,broken clouds,-5.4,-80.75,Los Portales
358,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Beach Rotana
359,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
364,Sulphur Springs,US,75.34,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
365,Vung Tau,VN,81.03,overcast clouds,10.346,107.0843,Seaside Resort
366,Tautira,PF,81.55,scattered clouds,-17.7333,-149.15,Pension Oaoa
367,Manado,ID,84.97,few clouds,1.487,124.8455,Aryaduta Hotel
384,Harper,LR,80.33,overcast clouds,4.375,-7.7169,Screensaver
401,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
405,Amravati,IN,86.68,scattered clouds,20.9333,77.75,Hotel Indrapuri
412,Tiarei,PF,87.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
413,Akyab,MM,81.39,scattered clouds,20.15,92.9,Hotel Memory
414,Eha Amufu,NG,78.69,scattered clouds,6.6592,7.7596,Eden Resort
418,Mersing,MY,76.91,thunderstorm,2.4312,103.8405,Timotel Hotel
434,Careiro Da Varzea,BR,75.81,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
436,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
438,Ternate,ID,83.07,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
440,Nagapattinam,IN,79.65,overcast clouds,10.7667,79.8333,Sathya Lodge
443,Boyolangu,ID,79.84,few clouds,-8.1181,111.8935,Yos ega cv
447,Kapoeta,SS,81.86,few clouds,4.7717,33.5903,Eastgate Hotel
449,Surakarta,ID,79.25,overcast clouds,-7.5561,110.8317,ibis Styles Solo
450,Sarangani,PH,82.27,overcast clouds,5.4033,125.4636,Ballistic Islet
452,Eyl,SO,81.95,overcast clouds,7.9803,49.8164,Amiin Hotel
453,Laguna,US,75.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
454,Abeche,TD,80.55,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
458,Labuan,MY,77.36,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
461,Waingapu,ID,82.17,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
463,Kavieng,PG,84.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
465,Pecos,US,88.63,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
466,Gold Coast,AU,82.18,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
471,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
475,Point Fortin,TT,79.86,overcast clouds,10.1833,-61.6833,Jus Les' Suites
476,Pochutla,MX,84.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
482,Patur,IN,85.1,broken clouds,20.45,76.9333,Hotel Rana Washim Road Patur
486,Innisfail,AU,80.85,few clouds,-17.5333,146.0333,Moondarra Motel
488,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
489,Rantepao,ID,76.41,broken clouds,-2.9701,119.8978,Hotel Luta Resort
497,Palauig,PH,83.05,light rain,15.435,119.9045,Alperi Botique Resort
502,Chor,PK,77.77,broken clouds,25.5167,69.7667,Asad U Bajeer Hotel
504,Mana,GF,77.7,overcast clouds,5.6592,-53.7767,LE SAMANA
505,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
512,Abonnema,NG,79.03,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
513,Luwuk,ID,83.14,light rain,-0.9516,122.7875,Hotel Santika Luwuk
521,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
529,Bayas,PH,77.86,heavy intensity rain,11.4336,123.1816,EZCA PARK
531,Kulhudhuffushi,MV,83.82,broken clouds,6.6221,73.07,Haajy Guest House 1
536,Duncan,US,84.42,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
537,Formosa,AR,75.18,heavy intensity rain,-26.1775,-58.1781,Asterión Hotel
543,Anaimalai,IN,75.34,broken clouds,10.5833,76.9333,Mullai Farms
557,Zhoucheng,CN,77.52,clear sky,35.9122,116.3117,Yingbin Restaurant
558,Maningrida,AU,88.57,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
564,Minna,NG,85.71,clear sky,9.6139,6.5569,Royal Park hotel & suites
565,Safaga,EG,75.04,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
571,Tual,ID,79.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
572,Dezhou,CN,80.28,clear sky,37.4486,116.2925,Zhongtai International Hotel
582,Mogadishu,SO,81.09,broken clouds,2.0371,45.3438,Hotel Juba
588,Meulaboh,ID,77.63,heavy intensity rain,4.1363,96.1285,Kost Pria
590,Dawei,MM,79.97,broken clouds,14.0833,98.2,Hotel Dawei
600,Roebourne,AU,86.94,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
607,Iralaya,HN,77.85,scattered clouds,15.0,-83.2333,Iglesia morava renovada
609,Keelung,TW,78.06,clear sky,25.1283,121.7419,East Coast Star Boutique Hotel
612,Laje,BR,77.05,broken clouds,-10.1833,-40.9667,NN Pousada
613,Bima,ID,83.93,clear sky,-8.4667,118.7167,Lambitu Hotel
616,Aquiraz,BR,78.89,light rain,-3.9014,-38.3911,Pousada Rua Camurupim
620,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
621,Jiaozuo,CN,80.74,clear sky,35.2397,113.2331,Days Hotel and Suites Jiaozuo
622,Cueto,CU,75.72,broken clouds,20.6439,-75.9356,Logia Hiram Abí
626,Omboue,GA,77.11,light rain,-1.5746,9.2618,Hotel Olako
627,Eydhafushi,MV,84.11,overcast clouds,5.1033,73.0708,Soneva Fushi
631,Vao,NC,77.4,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
633,Katsina,NG,83.53,scattered clouds,12.9894,7.6006,Katsina Motel
634,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
641,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
643,Zorritos,PE,79.09,overcast clouds,-3.6805,-80.6782,Hotel Pinamar
650,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
651,Hobyo,SO,81.95,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
652,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
653,Anta,IN,82.74,scattered clouds,25.15,76.3,Agnisaman Kendra
654,Lahaina,US,86.0,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
661,Morondava,MG,76.46,few clouds,-20.2833,44.2833,La Case Bambou
662,Kupang,ID,82.8,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
664,Kudahuvadhoo,MV,84.11,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
668,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
669,Tevaitoa,PF,80.91,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
677,Flinders,AU,80.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
679,Carupano,VE,76.73,overcast clouds,10.6678,-63.2585,Hotel La dorada
680,Nata,PA,78.4,overcast clouds,8.3333,-80.5167,Rey David
682,Ferkessedougou,CI,80.69,scattered clouds,9.6,-5.2,Hotel Chateau
683,Hutang,CN,77.86,clear sky,31.5333,119.4833,Dongyuan Restaurant
684,Domoni,KM,80.47,broken clouds,-12.2569,44.5319,Al Djadid
686,Moundou,TD,82.27,overcast clouds,8.5667,16.0833,Planete Life
689,Dicabisagan,PH,82.47,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
690,Taylor,US,85.46,clear sky,32.3001,-99.8337,Elm Creek Bed & Breakfast
695,Wahiawa,US,80.92,few clouds,21.5028,-158.0236,The Inn At Schofield
697,Conceicao Da Barra,BR,76.08,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
