City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,83.71,70,24,13.65,few clouds
80,Komsomolskiy,UZ,40.4272,71.7189,65.48,49,55,3.04,broken clouds
81,Neringa,LT,55.3719,21.0647,39.76,84,20,20.33,few clouds
82,Hami,CN,42.8,93.45,52.75,21,96,1.19,overcast clouds
83,Nelson Bay,AU,-32.7167,152.15,76.08,74,10,6.51,clear sky
84,Fortuna,US,40.5982,-124.1573,55.92,66,20,13.8,few clouds
85,Kruisfontein,ZA,-34.0033,24.7314,63.88,93,72,4.0,broken clouds
86,Korgen,NO,66.0771,13.8153,32.32,97,100,4.47,light snow
87,Chifeng,CN,42.2683,118.9636,51.15,27,72,1.88,broken clouds
88,Port Alfred,ZA,-33.5906,26.891,66.18,88,100,4.0,overcast clouds
89,Khatanga,RU,71.9667,102.5,3.79,95,97,2.55,overcast clouds
90,Marsaxlokk,MT,35.8419,14.5431,55.08,62,0,8.05,clear sky
91,Aswan,EG,24.0934,32.907,81.7,13,0,10.36,clear sky
92,Turbat,PK,26.0023,63.044,81.14,26,100,3.49,overcast clouds
93,The Pas,CA,53.8251,-101.2541,33.82,60,100,11.5,overcast clouds
94,Albany,US,42.6001,-73.9662,42.03,64,88,4.0,overcast clouds
95,Bardiyah,LY,31.7561,25.0865,60.87,70,0,13.27,clear sky
96,Busselton,AU,-33.65,115.3333,54.82,78,74,8.43,broken clouds
97,Ilulissat,GL,69.2167,-51.1,17.62,67,100,1.14,overcast clouds
98,Tiksi,RU,71.6872,128.8694,-6.07,93,99,1.95,overcast clouds
99,Kihei,US,20.785,-156.4656,86.02,67,40,23.02,scattered clouds
100,Andenes,NO,69.3143,16.1194,35.58,75,6,8.05,clear sky
101,Vaini,TO,-21.2,-175.2,82.56,78,40,9.22,scattered clouds
102,Te Anau,NZ,-45.4167,167.7167,53.38,78,66,9.28,light rain
103,Stornoway,GB,58.2093,-6.3865,44.56,81,40,11.5,scattered clouds
104,Korla,CN,41.7597,86.1469,53.76,51,28,10.87,scattered clouds
105,Faya,SA,18.3851,42.4509,60.91,41,0,2.66,clear sky
106,Coquimbo,CL,-29.9533,-71.3436,59.14,81,4,5.91,clear sky
107,Ozinki,RU,51.1786,49.6769,47.46,89,7,6.08,clear sky
108,Mirnyy,RU,62.5353,113.9611,23.23,41,100,1.99,overcast clouds
109,Chiredzi,ZW,-21.05,31.6667,66.25,87,100,2.91,overcast clouds
110,Nikolskoye,RU,59.7035,30.7861,37.87,92,6,8.34,clear sky
111,New Norfolk,AU,-42.7826,147.0587,56.71,55,95,1.99,overcast clouds
112,Puke,AL,42.0444,19.8997,32.0,87,53,5.84,broken clouds
113,Bethel,US,41.3712,-73.414,45.48,65,91,1.99,overcast clouds
114,Bredasdorp,ZA,-34.5322,20.0403,61.97,94,13,5.88,few clouds
115,Campbell River,CA,50.0163,-125.2446,42.6,75,75,4.61,broken clouds
116,Gorlev,DK,55.5393,11.2271,37.9,76,22,19.22,few clouds
117,Archidona,ES,37.0965,-4.3887,52.41,81,39,8.25,scattered clouds
118,Sharkan,RU,57.2989,53.8712,36.63,94,100,4.27,overcast clouds
119,Belyy Yar,RU,53.6039,91.3903,24.85,69,0,0.0,clear sky
120,Daru,PG,-9.0763,143.2092,86.09,71,98,5.86,overcast clouds
121,Missoula,US,47.0166,-113.8009,27.64,83,100,3.91,light snow
122,Lahij,YE,13.1667,44.5833,75.96,47,3,3.67,clear sky
123,Bowen,AU,-20.0167,148.2333,81.37,72,86,13.76,overcast clouds
124,Port Elizabeth,ZA,-33.918,25.5701,66.09,98,100,7.0,overcast clouds
125,Vaitape,PF,-16.5167,-151.75,81.48,75,7,16.84,light rain
126,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,0,8.05,clear sky
127,Mount Isa,AU,-20.7333,139.5,91.17,33,33,17.27,scattered clouds
128,Salalah,OM,17.0151,54.0924,78.89,78,0,3.44,clear sky
129,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,66,20,14.97,few clouds
130,Beringovskiy,RU,63.05,179.3167,30.72,86,100,10.69,overcast clouds
131,Karpokhorion,GR,39.3333,22.0167,47.82,72,73,7.4,broken clouds
132,Muros,ES,42.7762,-9.0603,55.69,89,70,13.31,broken clouds
133,Pakxan,LA,18.3778,103.6601,76.8,58,3,2.66,clear sky
134,Klaksvik,FO,62.2266,-6.589,27.52,66,99,8.57,overcast clouds
135,Abatskoye,RU,56.2875,70.4555,33.15,80,62,7.43,broken clouds
136,Baie-Comeau,CA,49.2168,-68.1489,33.48,100,100,6.91,mist
137,Tasiilaq,GL,65.6145,-37.6368,15.96,86,67,4.05,broken clouds
138,Jodar,ES,37.8406,-3.3526,60.58,63,67,8.57,broken clouds
139,Koslan,RU,63.4564,48.8989,36.79,99,100,5.84,overcast clouds
140,Abalak,RU,58.1286,68.5944,27.36,90,100,5.59,overcast clouds
141,Linping,CN,30.4225,120.2972,71.55,57,0,6.53,clear sky
142,Zhigansk,RU,66.7697,123.3711,4.62,94,49,9.1,scattered clouds
143,Gornopravdinsk,RU,60.05,69.9,27.36,94,100,5.59,overcast clouds
144,Aguimes,ES,27.9054,-15.4461,60.66,72,20,4.61,few clouds
145,Namibe,AO,-15.1961,12.1522,71.42,79,50,4.76,scattered clouds
146,Siniscola,IT,40.5719,9.6922,38.75,55,20,4.52,few clouds
147,Isangel,VU,-19.55,169.2667,84.04,67,25,9.98,scattered clouds
148,Itarema,BR,-2.9248,-39.9167,76.12,89,87,3.53,overcast clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,69.1,96,100,8.99,overcast clouds
150,Shetpe,KZ,44.1667,52.1167,54.25,64,0,6.82,clear sky
151,Chokurdakh,RU,70.6333,147.9167,-7.1,97,100,2.91,overcast clouds
152,Mormugao,IN,15.4,73.8,78.06,83,40,5.75,scattered clouds
153,Coahuayana,MX,18.7333,-103.6833,83.55,57,78,5.88,broken clouds
154,Salta,AR,-24.7859,-65.4117,72.19,87,20,8.05,few clouds
155,Alofi,NU,-19.0595,-169.9187,84.09,70,75,8.05,broken clouds
156,Barcelona,ES,41.3888,2.159,56.48,76,0,2.3,clear sky
157,Hasaki,JP,35.7333,140.8333,72.28,80,99,15.03,overcast clouds
158,Port Lincoln,AU,-34.7333,135.8667,64.74,74,94,14.81,overcast clouds
159,Beloha,MG,-25.1667,45.05,72.79,83,96,16.35,overcast clouds
160,Revelstoke,CA,50.9832,-118.2023,42.82,42,0,9.22,clear sky
161,Owando,CG,-0.4819,15.8999,72.12,94,89,1.66,overcast clouds
162,Hambantota,LK,6.1241,81.1185,73.74,100,20,0.0,few clouds
163,Bay Roberts,CA,47.5999,-53.2648,35.06,94,99,8.01,light rain
164,Polyarnyy,RU,69.1989,33.4478,33.37,81,100,18.05,overcast clouds
165,Cayenne,GF,4.9333,-52.3333,80.1,1,75,7.0,broken clouds
166,Lubango,AO,-14.9172,13.4925,61.07,80,50,2.42,scattered clouds
167,Faanui,PF,-16.4833,-151.75,81.5,75,6,16.82,light rain
168,Kichera,RU,55.9375,110.0997,25.25,91,98,1.81,overcast clouds
169,Sorong,ID,-0.8833,131.25,78.15,88,99,12.8,light rain
170,Bud,US,39.447,-86.1758,60.82,49,99,13.27,overcast clouds
171,Rawson,AR,-43.3002,-65.1023,54.9,65,37,12.5,scattered clouds
172,Pangnirtung,CA,66.1451,-65.7125,21.81,93,100,2.55,overcast clouds
173,Norman Wells,CA,65.282,-126.8329,19.44,45,40,18.41,scattered clouds
